Depth [m]    U [m/s]    V [m/s]    T [°C]    S [‰]    k [J/kg]    eps [W/kg]
  -0.00      0.000      0.000      6.871      0.157    3.0e-06    5.0e-10
  -2.50      0.000      0.000      6.871      0.158    3.0e-06    5.0e-10
  -5.00      0.000      0.000      6.871      0.158    3.0e-06    5.0e-10
  -7.50      0.000      0.000      6.871      0.158    3.0e-06    5.0e-10
 -10.00      0.000      0.000      6.871      0.158    3.0e-06    5.0e-10
 -15.00      0.000      0.000      6.871      0.158    3.0e-06    5.0e-10
 -20.00      0.000      0.000      6.871      0.159    3.0e-06    5.0e-10
 -30.00      0.000      0.000      6.871      0.159    3.0e-06    5.0e-10
 -40.00      0.000      0.000      6.871      0.159    3.0e-06    5.0e-10
 -50.00      0.000      0.000      6.871      0.159    3.0e-06    5.0e-10
-100.00      0.000      0.000      6.746      0.159    3.0e-06    5.0e-10
-150.00      0.000      0.000      6.435      0.161    3.0e-06    5.0e-10
-200.00      0.000      0.000      6.187      0.162    3.0e-06    5.0e-10
-225.00      0.000      0.000      6.187      0.163    3.0e-06    5.0e-10
-250.00      0.000      0.000      6.062      0.164    3.0e-06    5.0e-10
-275.00      0.000      0.000      6.062      0.164    3.0e-06    5.0e-10
-300.00      0.000      0.000      6.062      0.164    3.0e-06    5.0e-10
-309.00      0.000      0.000      6.062      0.164    3.0e-06    5.0e-10
