year,month,day,oxy_deep
1981,1,1,6.300324193
1981,1,2,6.295624108
1981,1,3,6.290926156
1981,1,4,6.286230573
1981,1,5,6.281537399
1981,1,6,6.27684666
1981,1,7,6.272158401
1981,1,8,6.267472687
1981,1,9,6.262789589
1981,1,10,6.258109166
1981,1,11,6.25343148
1981,1,12,6.248756575
1981,1,13,6.244084434
1981,1,14,6.23941502
1981,1,15,6.234748293
1981,1,16,6.230084229
1981,1,17,6.225422784
1981,1,18,6.220763934
1981,1,19,6.216107652
1981,1,20,6.211453914
1981,1,21,6.206802691
1981,1,22,6.202153955
1981,1,23,6.197507678
1981,1,24,6.192863829
1981,1,25,6.188222378
1981,1,26,6.183583293
1981,1,27,6.178946507
1981,1,28,6.174311953
1981,1,29,6.16967959
1981,1,30,6.165049379
1981,1,31,6.160421243
1981,2,1,6.155795149
1981,2,2,6.151171031
1981,2,3,6.146548813
1981,2,4,6.141928456
1981,2,5,6.137309873
1981,2,6,6.132693014
1981,2,7,6.12807783
1981,2,8,6.123464265
1981,2,9,6.118852203
1981,2,10,6.114241579
1981,2,11,6.109632322
1981,2,12,6.105024359
1981,2,13,6.100417608
1981,2,14,6.095811984
1981,2,15,6.091207391
1981,2,16,6.08660373
1981,2,17,6.082000889
1981,2,18,6.077398617
1981,2,19,6.07279663
1981,2,20,6.06819446
1981,2,21,6.063591425
1981,2,22,6.05898592
1981,2,23,6.054373977
1981,2,24,7.49593498
1981,2,25,9.704472202
1981,2,26,10.48100097
1981,2,27,10.49551619
1981,2,28,10.49991623
1981,3,1,10.50581901
1981,3,2,10.5080891
1981,3,3,10.51121104
1981,3,4,10.51587187
1981,3,5,10.51959565
1981,3,6,10.52158015
1981,3,7,10.52488464
1981,3,8,10.52868193
1981,3,9,10.53250167
1981,3,10,10.52488367
1981,3,11,10.51726701
1981,3,12,10.50965168
1981,3,13,10.50203768
1981,3,14,10.49442501
1981,3,15,10.48681367
1981,3,16,10.47920365
1981,3,17,10.47159496
1981,3,18,10.4639876
1981,3,19,10.45638156
1981,3,20,10.44877684
1981,3,21,10.44117344
1981,3,22,10.43357135
1981,3,23,10.42597059
1981,3,24,10.41837113
1981,3,25,10.410773
1981,3,26,10.40317617
1981,3,27,10.39558065
1981,3,28,10.38798645
1981,3,29,10.38039355
1981,3,30,10.37280195
1981,3,31,10.36521166
1981,4,1,10.35762268
1981,4,2,10.35003499
1981,4,3,10.34244861
1981,4,4,10.33486352
1981,4,5,10.32727973
1981,4,6,10.31969723
1981,4,7,10.31211603
1981,4,8,10.30453612
1981,4,9,10.29695751
1981,4,10,10.28938018
1981,4,11,10.28180414
1981,4,12,10.27422938
1981,4,13,10.26665592
1981,4,14,10.25908373
1981,4,15,10.25151283
1981,4,16,10.2439432
1981,4,17,10.23637486
1981,4,18,10.22880779
1981,4,19,10.221242
1981,4,20,10.21367749
1981,4,21,10.20611424
1981,4,22,10.19855227
1981,4,23,10.19099157
1981,4,24,10.18343214
1981,4,25,10.17587397
1981,4,26,10.16831708
1981,4,27,10.16076144
1981,4,28,10.15320707
1981,4,29,10.14565396
1981,4,30,10.13810211
1981,5,1,10.13055152
1981,5,2,10.12300218
1981,5,3,10.1154541
1981,5,4,10.10790728
1981,5,5,10.1003617
1981,5,6,10.09281738
1981,5,7,10.08527431
1981,5,8,10.07773249
1981,5,9,10.07019191
1981,5,10,10.06265258
1981,5,11,10.0551145
1981,5,12,10.04757765
1981,5,13,10.04004205
1981,5,14,10.03250769
1981,5,15,10.02497456
1981,5,16,10.01744267
1981,5,17,10.00991202
1981,5,18,10.0023826
1981,5,19,9.994854419
1981,5,20,9.987327464
1981,5,21,9.97980174
1981,5,22,9.972277244
1981,5,23,9.964753974
1981,5,24,9.957231931
1981,5,25,9.949711111
1981,5,26,9.942191514
1981,5,27,9.934673139
1981,5,28,9.927155983
1981,5,29,9.919640046
1981,5,30,9.912125326
1981,5,31,9.904611822
1981,6,1,9.897099531
1981,6,2,9.889588454
1981,6,3,9.882078588
1981,6,4,9.874569932
1981,6,5,9.867062485
1981,6,6,9.859556245
1981,6,7,9.852051211
1981,6,8,9.844547382
1981,6,9,9.837044756
1981,6,10,9.829543331
1981,6,11,9.822043107
1981,6,12,9.814544081
1981,6,13,9.807046253
1981,6,14,9.799549622
1981,6,15,9.792054185
1981,6,16,9.784559941
1981,6,17,9.77706689
1981,6,18,9.769575029
1981,6,19,9.762084358
1981,6,20,9.754594874
1981,6,21,9.747106577
1981,6,22,9.739619465
1981,6,23,9.732133537
1981,6,24,9.724648792
1981,6,25,9.717165227
1981,6,26,9.709682842
1981,6,27,9.702201636
1981,6,28,9.694721606
1981,6,29,9.687242753
1981,6,30,9.679765073
1981,7,1,9.672288566
1981,7,2,9.664813231
1981,7,3,9.657339067
1981,7,4,9.649866071
1981,7,5,9.642394242
1981,7,6,9.63492358
1981,7,7,9.627454082
1981,7,8,9.619985749
1981,7,9,9.612518577
1981,7,10,9.605052566
1981,7,11,9.597587714
1981,7,12,9.590124021
1981,7,13,9.582661484
1981,7,14,9.575200103
1981,7,15,9.567739876
1981,7,16,9.560280802
1981,7,17,9.552822879
1981,7,18,9.545366106
1981,7,19,9.537910482
1981,7,20,9.530456006
1981,7,21,9.523002676
1981,7,22,9.51555049
1981,7,23,9.508099448
1981,7,24,9.500649548
1981,7,25,9.49320079
1981,7,26,9.48575317
1981,7,27,9.478306689
1981,7,28,9.470861345
1981,7,29,9.463417136
1981,7,30,9.455974062
1981,7,31,9.448532121
1981,8,1,9.441091311
1981,8,2,9.433651632
1981,8,3,9.426213082
1981,8,4,9.41877566
1981,8,5,9.411339364
1981,8,6,9.403904193
1981,8,7,9.396470146
1981,8,8,9.389037222
1981,8,9,9.381605419
1981,8,10,9.374174736
1981,8,11,9.366745172
1981,8,12,9.359316725
1981,8,13,9.351889394
1981,8,14,9.344463178
1981,8,15,9.337038076
1981,8,16,9.329614086
1981,8,17,9.322191207
1981,8,18,9.314769437
1981,8,19,9.307348776
1981,8,20,9.299929222
1981,8,21,9.292510774
1981,8,22,9.285093431
1981,8,23,9.277677191
1981,8,24,9.270262052
1981,8,25,9.262848015
