year,month,day,oxy_deep
1981,1,1,9.907325912
1981,1,2,9.900745296
1981,1,3,9.894164679
1981,1,4,9.887584063
1981,1,5,9.881003446
1981,1,6,9.87442283
1981,1,7,9.867842213
1981,1,8,9.861261597
1981,1,9,9.85468098
1981,1,10,9.848100364
1981,1,11,9.841519748
1981,1,12,9.821999811
1981,1,13,9.802479874
1981,1,14,9.782959938
1981,1,15,9.763440001
1981,1,16,9.743920064
1981,1,17,9.724400128
1981,1,18,9.704880191
1981,1,19,9.685360254
1981,1,20,9.665840318
1981,1,21,9.646320381
1981,1,22,9.626800444
1981,1,23,9.607280508
1981,1,24,9.587760571
1981,1,25,9.568240635
1981,1,26,9.548720698
1981,1,27,9.56418087
1981,1,28,9.579641041
1981,1,29,9.595101213
1981,1,30,9.610561385
1981,1,31,9.626021557
1981,2,1,9.641481729
1981,2,2,9.6569419
1981,2,3,9.672402072
1981,2,4,9.687862244
1981,2,5,9.703322416
1981,2,6,9.718782588
1981,2,7,9.734242759
1981,2,8,9.749702931
1981,2,9,9.765163103
1981,2,10,9.780623275
1981,2,11,9.796083447
1981,2,12,9.811543618
1981,2,13,9.82700379
1981,2,14,9.842463962
1981,2,15,9.857924134
1981,2,16,9.844351246
1981,2,17,9.830778359
1981,2,18,9.817205471
1981,2,19,9.803632583
1981,2,20,9.790059696
1981,2,21,9.776486808
1981,2,22,9.76291392
1981,2,23,9.749341033
1981,2,24,9.735768145
1981,2,25,9.722195257
1981,2,26,9.70862237
1981,2,27,9.695049482
1981,2,28,9.681476594
1981,3,1,9.667903707
1981,3,2,9.654330819
1981,3,3,9.648858094
1981,3,4,9.643385369
1981,3,5,9.637912644
1981,3,6,9.632439919
1981,3,7,9.626967194
1981,3,8,9.621494469
1981,3,9,9.616021744
1981,3,10,9.610549019
1981,3,11,9.605076294
1981,3,12,9.599603569
1981,3,13,9.594130844
1981,3,14,9.588658119
1981,3,15,9.583185394
1981,3,16,9.577712669
1981,3,17,9.572239944
1981,3,18,9.561920278
1981,3,19,9.551600612
1981,3,20,9.541280946
1981,3,21,9.53096128
1981,3,22,9.520641614
1981,3,23,9.510321948
1981,3,24,9.500002282
1981,3,25,9.489682616
1981,3,26,9.479362951
1981,3,27,9.469043285
1981,3,28,9.458723619
1981,3,29,9.448403953
1981,3,30,9.424097443
1981,3,31,9.399790934
1981,4,1,9.375484425
1981,4,2,9.351177915
1981,4,3,9.326871406
1981,4,4,9.302564896
1981,4,5,9.278258387
1981,4,6,9.253951877
1981,4,7,9.229645368
1981,4,8,9.205338859
1981,4,9,9.181032349
1981,4,10,9.15672584
1981,4,11,9.13241933
1981,4,12,9.108112821
1981,4,13,9.132777513
1981,4,14,9.157442204
1981,4,15,9.182106896
1981,4,16,9.206771587
1981,4,17,9.231436279
1981,4,18,9.256100971
1981,4,19,9.280765662
1981,4,20,9.305430354
1981,4,21,9.330095046
1981,4,22,9.354759737
1981,4,23,9.379424429
1981,4,24,9.404089121
1981,4,25,9.428753812
1981,4,26,9.453418504
1981,4,27,9.392809135
1981,4,28,9.332199765
1981,4,29,9.271590396
1981,4,30,9.210981027
1981,5,1,9.150371657
1981,5,2,9.089762288
1981,5,3,9.029152919
1981,5,4,8.96854355
1981,5,5,8.90793418
1981,5,6,8.847324811
1981,5,7,8.786715442
1981,5,8,8.726106072
1981,5,9,8.665496703
1981,5,10,8.604887334
1981,5,11,8.544277965
1981,5,12,8.483668595
1981,5,13,8.423059226
1981,5,14,8.362449857
1981,5,15,8.301840487
1981,5,16,8.241231118
